Inst ID;L;mu;cvr;f;m;cs/cw;S;costs;LB 95% CI;UB 95% CI;avg short;avg waste
1;0;2;0,5;0%;3;0,1;2;3,098482;3,08E+00;3,12E+00;11,6%;0,4%
22;0;2;0,5;50%;3;0,1;2;2,419073;2,41E+00;2,43E+00;10,9%;0,1%
23;0;2;0,5;50%;3;0,2;3;3,674821;3,64E+00;3,70E+00;0,8%;1,7%
24;0;2;0,5;50%;3;0,5;3;4,144540;4,11E+00;4,18E+00;0,8%;1,7%
25;0;2;0,5;50%;3;1;3;4,927404;4,89E+00;4,97E+00;0,8%;1,7%
27;0;2;0,5;50%;3;5;3;11,190316;1,11E+01;1,13E+01;0,8%;1,7%
30;0;2;0,5;50%;4;0,2;3;0,873516;8,60E-01;8,87E-01;0,8%;0,3%
31;0;2;0,5;50%;4;0,5;3;1,343235;1,33E+00;1,36E+00;0,8%;0,3%
32;0;2;0,5;50%;4;1;3;2,126099;2,10E+00;2,15E+00;0,8%;0,3%
64;0;2;1;0%;3;0,1;2;10,041909;1,00E+01;1,01E+01;27,0%;3,1%
65;0;2;1;0%;3;0,2;2;15,448791;1,54E+01;1,55E+01;27,0%;3,1%
66;0;2;1;0%;3;0,5;3;31,268132;3,12E+01;3,13E+01;10,9%;10,3%
67;0;2;1;0%;3;1;3;42,130838;4,20E+01;4,22E+01;10,9%;10,3%
68;0;2;1;0%;3;2;4;62,109753;6,20E+01;6,22E+01;3,7%;19,7%
69;0;2;1;0%;3;5;4;84,419986;8,41E+01;8,47E+01;3,7%;19,7%
70;0;2;1;0%;3;10;5;102,017720;1,02E+02;1,02E+02;1,1%;28,8%
71;0;2;1;0%;4;0,1;2;7,129821;7,10E+00;7,15E+00;27,0%;1,2%
72;0;2;1;0%;4;0,2;2;12,536703;1,25E+01;1,26E+01;27,0%;1,2%
73;0;2;1;0%;4;0,5;3;21,922115;2,19E+01;2,20E+01;10,9%;5,8%
74;0;2;1;0%;4;1;3;32,784821;3,27E+01;3,29E+01;10,9%;5,8%
76;0;2;1;0%;4;5;5;65,392033;6,52E+01;6,55E+01;1,1%;21,6%
78;0;2;1;0%;5;0,1;2;6,081126;6,06E+00;6,10E+00;27,0%;0,5%
79;0;2;1;0%;5;0,2;3;10,785398;1,07E+01;1,08E+01;10,9%;3,5%
81;0;2;1;0%;5;1;4;27,808723;2,77E+01;2,79E+01;3,7%;9,6%
82;0;2;1;0%;5;2;4;35,245467;3,51E+01;3,54E+01;3,7%;9,6%
83;0;2;1;0%;5;5;5;50,697184;5,05E+01;5,08E+01;1,1%;16,7%
84;0;2;1;0%;5;10;5;61,658036;6,14E+01;6,20E+01;1,1%;16,7%
85;0;2;1;50%;3;0,1;2;8,371133;8,34E+00;8,40E+00;27,0%;2,0%
86;0;2;1;50%;3;0,2;2;13,779217;1,37E+01;1,38E+01;27,0%;2,0%
87;0;2;1;50%;3;0,5;3;23,070055;2,30E+01;2,31E+01;10,9%;6,4%
89;0;2;1;50%;3;2;4;44,380769;4,43E+01;4,45E+01;3,7%;13,3%
